epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,860,,,,0.7880143523216248,0.8333142995834351,0.6593227982521057
0,860,0.6994699239730835,0.7379252910614014,0.5509316921234131,,,
1,1721,,,,0.8393797278404236,0.8683234453201294,0.7280846238136292
1,1721,0.7899290919303894,0.8060256242752075,0.6616275906562805,,,
2,2582,,,,0.8479971885681152,0.8764137625694275,0.7407774329185486
2,2582,0.8193435072898865,0.8333878517150879,0.7013899087905884,,,
3,3443,,,,0.8714911937713623,0.8882413506507874,0.7755348682403564
3,3443,0.8388278484344482,0.8513738512992859,0.7292829751968384,,,
4,4304,,,,0.8618263602256775,0.8825027346611023,0.7614155411720276
4,4304,0.8522773385047913,0.864408016204834,0.7488442659378052,,,
5,5165,,,,0.8613591194152832,0.8928300142288208,0.7615348100662231
5,5165,0.8609921336174011,0.8717747330665588,0.7619478702545166,,,
6,6026,,,,0.8863263726234436,0.9034062027931213,0.798509955406189
6,6026,0.8685070872306824,0.8790857195854187,0.773084282875061,,,
7,6887,,,,0.8916072845458984,0.9054686427116394,0.8070074319839478
7,6887,0.8745481967926025,0.8855588436126709,0.7819759249687195,,,
8,7748,,,,0.8914778828620911,0.9044056534767151,0.8072049617767334
8,7748,0.8791025280952454,0.8901073336601257,0.7889745831489563,,,
9,8609,,,,0.8978065252304077,0.9104721546173096,0.8169942498207092
9,8609,0.8848991394042969,0.8946292996406555,0.797911524772644,,,
10,9470,,,,0.8902390003204346,0.9118552803993225,0.8050299882888794
10,9470,0.887261688709259,0.8976194858551025,0.8016037344932556,,,
11,10331,,,,0.8994426727294922,0.9129785895347595,0.8195912837982178
11,10331,0.8897318840026855,0.8993043899536133,0.8055099248886108,,,
12,11192,,,,0.900252640247345,0.918031632900238,0.8209090828895569
12,11192,0.8953043818473816,0.9047790765762329,0.8144514560699463,,,
13,12053,,,,0.8999894857406616,0.9194506406784058,0.82051682472229
13,12053,0.8976978063583374,0.9073299765586853,0.8181532025337219,,,
14,12914,,,,0.9094200730323792,0.9209052324295044,0.8358058929443359
14,12914,0.9013049602508545,0.9107415080070496,0.8239396810531616,,,
15,13775,,,,0.9066652655601501,0.9229311943054199,0.8312357068061829
15,13775,0.9035369753837585,0.9126615524291992,0.8275301456451416,,,
16,14636,,,,0.9047041535377502,0.9260899424552917,0.8284573554992676
16,14636,0.9054287672042847,0.9147838950157166,0.8306210041046143,,,
17,15497,,,,0.8861109018325806,0.9196904301643372,0.8014636039733887
17,15497,0.9082956910133362,0.9171760678291321,0.8353230357170105,,,
18,16358,,,,0.8966705799102783,0.921821117401123,0.8160536885261536
