epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,105,,,,0.6304128766059875,0.7379248738288879,0.4912519156932831
0,105,0.5721514821052551,0.6807265281677246,0.37482699751853943,,,
1,211,,,,0.6836085915565491,0.7520684599876404,0.5347110033035278
1,211,0.739565908908844,0.7831986546516418,0.5949047207832336,,,
2,317,,,,0.7390533089637756,0.7648201584815979,0.5893208384513855
2,317,0.7863527536392212,0.8106696009635925,0.6514873504638672,,,
3,423,,,,0.6867355108261108,0.7554552555084229,0.5381432175636292
3,423,0.8060547709465027,0.828019917011261,0.6781943440437317,,,
4,529,,,,0.6841765642166138,0.7562961578369141,0.5367491841316223
4,529,0.8291321992874146,0.840745747089386,0.7098501920700073,,,
5,635,,,,0.7129537463188171,0.7719499468803406,0.5661598443984985
5,635,0.8402537107467651,0.850568413734436,0.726006805896759,,,
6,741,,,,0.6925988793373108,0.7666451334953308,0.548931896686554
6,741,0.853653609752655,0.8592177033424377,0.7458683252334595,,,
7,847,,,,0.6838578581809998,0.7628738880157471,0.5427129864692688
7,847,0.8652021288871765,0.8677674531936646,0.7635766863822937,,,
8,953,,,,0.7032063007354736,0.7641634941101074,0.5560919046401978
8,953,0.8711093068122864,0.8730722665786743,0.7727329730987549,,,
9,1059,,,,0.678352415561676,0.764188289642334,0.5393874049186707
9,1059,0.877505362033844,0.8777121305465698,0.7828315496444702,,,
10,1165,,,,0.7074885368347168,0.7720426917076111,0.5626983046531677
10,1165,0.8824133276939392,0.8826866745948792,0.7906187772750854,,,
11,1271,,,,0.7270858287811279,0.7726283073425293,0.5794814229011536
11,1271,0.88869309425354,0.8870334625244141,0.8007623553276062,,,
